NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
100,100,100,100,100.000000,100.000000
45,237,311,548,738.831041,0.796114
45,234,319,553,719.196936,0.816393
45,234,315,549,731.319152,0.804250
45,230,325,555,740.029955,0.801093
45,229,315,544,747.761642,0.776321
45,238,316,554,732.293740,0.804129
45,239,315,554,727.274032,0.813843
45,215,306,521,711.396949,0.790893
45,220,307,527,718.993539,0.788950
45,238,319,557,729.352043,0.815908
45,226,312,538,703.019676,0.817243
45,231,309,540,713.330125,0.809836
45,223,305,528,723.474210,0.786035
45,248,316,564,747.672247,0.808015
45,233,307,540,713.444569,0.809957
45,248,330,578,755.288797,0.815422
45,241,312,553,738.678832,0.802793
45,217,311,528,720.716062,0.789435
45,242,304,546,720.793524,0.815665
45,221,316,537,730.699769,0.791014
45,239,302,541,727.487753,0.794050
45,218,310,528,732.863644,0.779114
45,233,305,538,721.803519,0.796600
45,226,319,545,718.782031,0.807043
45,229,319,548,716.314286,0.824165
45,236,317,553,726.308612,0.815786
45,235,314,549,718.077351,0.820279
45,240,330,570,760.030764,0.806193
45,240,321,561,748.272595,0.805950
45,234,320,554,744.482702,0.800000
45,232,319,551,720.922307,0.810079
45,231,325,556,745.710098,0.800364
45,245,329,574,735.244984,0.825865
45,230,311,541,731.669404,0.797936
45,240,315,555,747.534347,0.798786
45,234,312,546,744.915507,0.787492
45,222,319,541,723.236201,0.801700
45,237,318,555,727.774682,0.817608
45,240,324,564,734.663081,0.817851
45,262,319,581,738.468128,0.836916
45,212,313,525,714.135282,0.791985
45,231,315,546,728.619349,0.803522
45,237,294,531,745.954452,0.768670
45,223,309,532,706.388262,0.808379
45,248,327,575,758.348014,0.807893
45,211,305,516,713.801445,0.777778
45,235,324,559,753.908451,0.796478
45,260,326,586,737.199817,0.844202
45,243,305,548,723.201923,0.807165
45,223,318,541,724.058996,0.800729
45,232,331,563,755.960378,0.799271
45,236,316,552,718.350190,0.816151
45,235,318,553,718.742898,0.824894
45,227,315,542,729.785808,0.800243
45,240,310,550,742.256637,0.797571
45,241,315,556,750.600000,0.796721
45,252,305,557,728.541137,0.816636
45,232,321,553,729.216173,0.811415
45,257,322,579,756.835714,0.816393
45,241,317,558,749.980415,0.801700
45,241,305,546,725.211290,0.807286
45,227,310,537,738.262938,0.778992
45,236,321,557,741.136694,0.807893
45,241,314,555,726.155863,0.816879
45,244,327,571,752.710901,0.813479
45,242,322,564,736.994605,0.810322
45,232,315,547,724.669402,0.806922
45,234,307,541,747.505872,0.781056
45,235,309,544,723.839069,0.804736
45,236,312,548,721.582987,0.810929
45,225,311,536,710.782609,0.807893
45,234,309,543,706.414692,0.820158
45,239,314,553,736.528384,0.805100
45,231,309,540,713.902713,0.810686
45,246,313,559,730.113402,0.821736
45,236,315,551,731.852419,0.804614
45,233,324,557,729.236089,0.815908
45,235,329,564,730.158780,0.820886
45,224,303,527,724.394091,0.783607
45,222,314,536,732.364360,0.787128
45,234,326,560,747.423015,0.797693
45,251,317,568,727.559496,0.835094
45,233,324,557,738.154973,0.806315
45,236,304,540,742.635271,0.779721
45,218,315,533,722.630063,0.793564
45,208,316,524,717.754491,0.785428
45,233,315,548,729.279250,0.806679
45,236,307,543,742.051942,0.786521
45,231,314,545,715.231076,0.814572
45,222,325,547,728.654966,0.808015
45,231,305,536,723.481396,0.796236
45,237,307,544,719.075441,0.810808
45,240,309,549,744.322522,0.793200
45,222,324,546,735.171681,0.795507
45,234,322,556,731.064985,0.813358
45,212,315,527,707.968189,0.795021
45,239,310,549,726.034206,0.813722
45,233,318,551,721.495468,0.811900
45,220,333,553,741.928152,0.799879
45,229,312,541,728.916067,0.795871
