NUM_CAMPS,MB_TRIPS,OB_TRIPS,TOTAL_TRIPS,OPTIMAL_TRIPS_TOTAL,CAMP_POPULATION_PERCENTAGE
10,108,70,178,215.579087,0.874863
10,105,67,172,209.003984,0.873224
10,107,67,174,215.294118,0.857377
10,108,70,178,216.007958,0.872131
10,106,65,171,215.220083,0.841530
10,104,68,172,210.682731,0.864481
10,103,71,174,207.169811,0.878689
11,115,97,212,231.680782,0.944858
11,113,97,210,233.940232,0.927968
11,113,99,212,229.685684,0.956284
11,115,96,211,234.664641,0.934426
11,112,99,211,231.973239,0.944362
11,113,100,213,231.767027,0.951316
11,115,92,207,230.981707,0.933433
11,117,100,217,238.049591,0.948336
11,116,94,210,232.524752,0.942375
11,115,100,215,235.086909,0.946349
11,112,100,212,228.578468,0.953800
11,110,98,208,224.867884,0.959265
11,118,99,217,239.353973,0.943865
11,117,97,214,235.271436,0.951316
11,113,98,211,229.590811,0.951813
11,118,96,214,239.722871,0.932439
11,113,105,218,234.294714,0.958271
11,121,100,221,244.570093,0.934923
11,116,99,215,234.831796,0.947342
11,115,100,215,233.312668,0.951316
12,123,96,219,248.668046,0.918944
12,123,98,221,247.357798,0.938069
12,122,95,217,248.711900,0.911202
12,127,90,217,255.650215,0.898907
12,125,96,221,253.826360,0.911658
12,125,95,220,250.580913,0.918488
12,128,97,225,255.877784,0.922587
12,126,97,223,252.556988,0.923953
12,128,95,223,254.658346,0.913479
12,128,100,228,257.555556,0.927596
12,130,99,229,259.888372,0.918488
12,130,97,227,263.195354,0.902095
12,128,99,227,258.688116,0.913479
12,124,92,216,250.838710,0.907104
12,120,97,217,243.128571,0.926685
12,122,98,220,249.674419,0.919399
12,126,95,221,256.238648,0.899362
12,127,98,225,253.125000,0.924408
12,123,93,216,249.519200,0.902550
12,120,104,224,244.485089,0.947177
13,126,82,208,254.151002,0.862127
13,133,83,216,262.980553,0.865069
13,134,93,227,273.157815,0.875998
13,129,83,212,263.092332,0.858344
13,125,91,216,257.446894,0.875158
13,135,92,227,270.016500,0.884826
13,136,86,222,272.095827,0.863808
13,127,86,213,260.796191,0.867171
13,132,86,218,265.823680,0.864229
13,130,92,222,261.583952,0.888188
13,135,90,225,270.204442,0.876419
13,130,90,220,262.740964,0.880202
13,131,92,223,267.128399,0.881042
13,124,90,214,253.918204,0.891131
13,129,85,214,258.692073,0.870534
13,131,92,223,260.312561,0.896175
13,131,87,218,262.195147,0.872215
13,127,94,221,260.793155,0.886927
13,142,82,224,276.685358,0.860866
13,120,90,210,243.702439,0.904161
14,142,89,231,284.803657,0.855191
14,140,87,227,284.249267,0.842311
14,142,85,227,286.913666,0.834895
14,140,78,218,285.685934,0.814598
14,141,86,227,286.348597,0.839188
14,140,83,223,285.092814,0.830991
14,137,84,221,273.792070,0.859094
14,143,84,227,285.785749,0.852069
14,139,85,224,282.286276,0.842701
14,137,79,216,275.456446,0.835675
14,139,84,223,280.887906,0.838798
14,140,84,224,278.992708,0.849727
14,150,71,221,291.556128,0.813427
